"Time","VRM","VYM","VBM"
2023-02-21 14:17:10.080,235,236,235
2023-02-21 14:17:10.120,235,236,235
2023-02-21 14:17:10.160,235,236,235
2023-02-21 14:17:10.200,235,236,235
2023-02-21 14:17:10.240,235,236,235
2023-02-21 14:17:10.280,235,236,235
2023-02-21 14:17:10.320,235,236,235
2023-02-21 14:17:10.360,235,236,235
2023-02-21 14:17:10.400,235,236,235
2023-02-21 14:17:10.440,235,236,235
2023-02-21 14:17:10.480,235,236,235
2023-02-21 14:17:10.520,235,236,235
2023-02-21 14:17:10.560,235,236,235
2023-02-21 14:17:10.600,235,236,235
2023-02-21 14:17:10.640,235,236,235
2023-02-21 14:17:10.680,235,236,235
2023-02-21 14:17:10.720,235,236,235
2023-02-21 14:17:10.760,235,236,235
2023-02-21 14:17:10.800,235,236,235
2023-02-21 14:17:10.840,235,236,235
2023-02-21 14:17:10.880,235,236,235
2023-02-21 14:17:10.920,235,236,235
2023-02-21 14:17:10.960,235,236,235
2023-02-21 14:17:11.000,235,236,235
2023-02-21 14:17:11.040,235,236,235
2023-02-21 14:17:11.080,235,236,235
2023-02-21 14:17:11.120,235,236,235
2023-02-21 14:17:11.160,235,236,235
2023-02-21 14:17:11.200,235,236,235
2023-02-21 14:17:11.240,235,236,235
2023-02-21 14:17:11.280,235,236,235
2023-02-21 14:17:11.320,235,236,235
2023-02-21 14:17:11.360,235,236,235
2023-02-21 14:17:11.400,235,236,235
2023-02-21 14:17:11.440,235,236,235
2023-02-21 14:17:11.480,235,236,235
2023-02-21 14:17:11.520,235,236,235
2023-02-21 14:17:11.560,235,236,235
2023-02-21 14:17:11.600,235,236,235
2023-02-21 14:17:11.640,235,236,235
2023-02-21 14:17:11.680,235,236,235
2023-02-21 14:17:11.720,235,236,235
2023-02-21 14:17:11.760,235,236,235
2023-02-21 14:17:11.800,235,236,235
2023-02-21 14:17:11.840,235,236,235
2023-02-21 14:17:11.880,235,236,235
2023-02-21 14:17:11.920,235,236,235
2023-02-21 14:17:11.960,235,236,235
2023-02-21 14:17:12.000,235,236,235
2023-02-21 14:17:12.040,235,236,235
2023-02-21 14:17:12.080,235,236,235
2023-02-21 14:17:12.120,235,236,235
2023-02-21 14:17:12.160,235,236,235
2023-02-21 14:17:12.200,235,236,235
2023-02-21 14:17:12.240,235,236,235
2023-02-21 14:17:12.280,235,236,235
2023-02-21 14:17:12.320,235,236,235
2023-02-21 14:17:12.360,235,236,235
2023-02-21 14:17:12.400,235,236,235
2023-02-21 14:17:12.440,235,236,235
2023-02-21 14:17:12.480,235,237,235
2023-02-21 14:17:12.520,235,237,235
2023-02-21 14:17:12.560,234,230,236
2023-02-21 14:17:12.600,233,223,236
2023-02-21 14:17:12.640,233,227,235
2023-02-21 14:17:12.680,234,235,234
2023-02-21 14:17:12.720,234,237,235
2023-02-21 14:17:12.760,234,236,235
2023-02-21 14:17:12.800,234,237,235
2023-02-21 14:17:12.840,234,237,235
2023-02-21 14:17:12.880,235,237,235
2023-02-21 14:17:12.920,235,237,235
2023-02-21 14:17:12.960,235,237,235
2023-02-21 14:17:13.000,235,237,235
2023-02-21 14:17:13.040,235,237,235
2023-02-21 14:17:13.080,235,237,235
2023-02-21 14:17:13.120,235,237,235
2023-02-21 14:17:13.160,235,237,235
2023-02-21 14:17:13.200,235,237,235
2023-02-21 14:17:13.240,235,237,235
2023-02-21 14:17:13.280,235,237,235
2023-02-21 14:17:13.320,235,237,235
2023-02-21 14:17:13.360,235,237,235
2023-02-21 14:17:13.400,235,237,235
2023-02-21 14:17:13.440,235,237,235
2023-02-21 14:17:13.480,235,237,235
2023-02-21 14:17:13.520,235,237,235
2023-02-21 14:17:13.560,235,237,235
2023-02-21 14:17:13.600,235,237,235
2023-02-21 14:17:13.640,235,237,235
2023-02-21 14:17:13.680,235,237,235
2023-02-21 14:17:13.720,235,237,235
2023-02-21 14:17:13.760,235,236,235
2023-02-21 14:17:13.800,235,236,235
2023-02-21 14:17:13.840,235,236,235
2023-02-21 14:17:13.880,235,236,235
2023-02-21 14:17:13.920,235,236,235
2023-02-21 14:17:13.960,235,236,235
2023-02-21 14:17:14.000,235,236,235
2023-02-21 14:17:14.040,235,236,235
2023-02-21 14:17:14.080,235,236,235
2023-02-21 14:17:14.120,235,236,235
2023-02-21 14:17:14.160,235,236,235
2023-02-21 14:17:14.200,235,236,235
2023-02-21 14:17:14.240,235,236,235
2023-02-21 14:17:14.280,235,236,235
2023-02-21 14:17:14.320,235,236,235
2023-02-21 14:17:14.360,235,236,235
2023-02-21 14:17:14.400,235,236,235
2023-02-21 14:17:14.440,235,236,235
2023-02-21 14:17:14.480,235,236,235
2023-02-21 14:17:14.520,235,236,235
2023-02-21 14:17:14.560,235,236,235
2023-02-21 14:17:14.600,235,236,235
2023-02-21 14:17:14.640,235,236,235
2023-02-21 14:17:14.680,235,236,235
